Name,ID,,Min Duration,Max Duration,Stats Modified,Modifier Value,Type,Tick Effect,Tick Power,Stack Type,Effect
Insatiable Hunger,Insaitiable_Hunger,Darkness,2,3,,,Debuff,,,,Gradually decreases max HP and increases damage taken
Entropic Lethargy,Entropic_Lethargy,Darkness,2,3,,,Debuff,,,,Drastically slows action speed and increases skill cooldowns
Seductive Charm,Seductive_Charm,Darkness,2,3,,,Debuff,,,,Chance to waste turn attacking allies or using items on enemies
Overwhelming Pride,Overwhelming_Pride,Darkness,2,3,,,Debuff,,,,Increases damage taken from critical hits and weakness exploitation
Blinding Arrogance,Blinding_Arrogance,Darkness,2,3,,,Debuff,,,,"Decreases accuracy and evasion, increases damage from back attacks"
Chaotic Brilliance,Chaotic_Brilliance,Darkness,2,3,,,Debuff,,,,Randomly enhances or diminishes the power of skills used
Temporal Decay,Temporal_Decay,Darkness,2,3,,,Debuff,,,,Gradually decreases all stats over time
Void Consumption,Void_Consumption,Darkness,2,3,,,Debuff,,,,Absorbs a portion of healing and buffs applied to nearby allies
Primordial Instability,Primordial_Instability,Darkness,2,3,,,Debuff,,,,Randomly changes elemental affinity and weaknesses each turn
Corrupted Divinity,Corrupted_Divinity,Darkness,2,3,,,Debuff,,,,"Converts a portion of light-based healing into damage Now, let's create the next batch of enemies with their unique states:"
Conceptual Erasure,Conceptual_Erasure,Null Element,2,3,,,Debuff,,,,Nullifies one random ability of the target each turn
Existential Drain,Existential_Drain,Null Element,2,3,,,Debuff,,,,"Continuously drains HP, MP, and all stats"
