Name,ID,Element,Min Duration,Max Duration,Stats Modified,Modifier Value,Type,Tick Effect,Tick Power,Stack Type,Effect,Notes,,,,,,,,,,,,,,,,
Aegis Light Guard,Aegis_Light_Guard,Light,4,5,Barrier,,Buff,,,,Atk 35% = Barrier,,,,,,,,,,,,,,,,,
Serpents Insticts,Serpents_Instincts,Nature,3,4,"Hit, Atk","10%, 15%",Buff,,,,,,,,,,,,,,,,,,,,,
Elemental Evocation,Elemental_Evocation,Null Element,2,3,M.Atk,15%,Buff,,,,,,,,,,,,,,,,,,,,,
Apex Predator,Apex_Predator,Nature,2,3,"Atk, M.Atk, Agi, Crit","15%, 15%, 10%, 5%",Buff,,,,,,,,,,,,,,,,,,,,,
Abyssal,Abyssal,Darkness,3,4,"Hp Regen, Mp Regen",,Buff,"HoT, MoT",5%,,"Health Points, Mana Points + 5% Per Turn, Atk Element = Darkness",,,,,,,,,,,,,,,,,
Magic Enhanced,Magic_Enhanced,Null Element,3,4,"M.Atk, Atk",10%,Buff,,,,,,,,,,,,,,,,,,,,,
Dark Flight,Dark_Flight,Physical,2,2,Eva,15%,Buff,,,,Skill Allow = Dark Impale,,,,,,,,,,,,,,,,,
Evasion Up,Evasion_Up,Physical,2,2,Eva,15%,Buff,,,,,,,,,,,,,,,,,,,,,
Den Guard Stance,Den_Guard_Stance,Nature,2,3,"Def, Agi","30%, 15%",Buff,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mirage Veil,Mirage_Veil,Null Element,2,3,"Eva, Def","30%, -30%",Buff,,,,,,,,,,,,,,,,,,,,,
Sand Armor,Sand_Armor,Earth,2,3,"Def, Agi","20%, -15%",Buff,,,,,,,,,,,,,,,,,,,,,
Solar Empowerment,Solar_Empowerment,Light,2,3,"Atk, M.Atk","20%, 20%",Buff,,,,Stat.Increase = Day,,,,,,,,,,,,,,,,,
Magma Armor,Magma_Armor,Fire,2,3,Def,25%,Buff,,,,Atk + Element Fire,,,,,,,,,,,,,,,,,
Draconic Might,Draconic_Might,Null Element,2,3,All.Modifier,30%,Buff,SoT,50%,Base.5,Stack.1 = -10% Per Turn,,,,,,,,,,,,,,,,,
Molten Core,Molten_Core,Fire,2,3,"Element Fire, Weakness Fire","30%, -30%",Buff,,,,"Increase Fire Magic = 30%, Weakness Fire Magic -30%",,,,,,,,,,,,,,,,,
Frost Armor,Frost_Armor,Ice,2,3,Def,40%,Buff,,,,Atk + Element Ice,,,,,,,,,,,,,,,,,
Glacial Momentum,Glacial_Momentum,Ice,2,3,Action.Speed,5%,Buff,SoT,5%,3,Action speed + 5% Per Stack,,,,,,,,,,,,,,,,,
Hellfire Aura,Hellfire_Aura,Fire,2,3,Element Fire,20%,Buff,,,,"Increase Fire Magic = 20%,  Attacker = Caster.Skill = Fire Damage",,,,,,,,,,,,,,,,,
Reflection,Reflection,Light,2,3,,,Buff,,,,"Attacker(Atk, M.Atk) = Reflect 30%",,,,,,,,,,,,,,,,,
Radiant Overload,Radiant_Overload,Light,2,3,,,Buff,,,,"Increase Light Magic = 50%, Caster = Self.Damage 5% Per Turn",,,,,,,,,,,,,,,,,
Reality Anchor,Reality_Anchor,Null Element,2,3,,,Buff,,,,"Weakness Element + Null Element, Physical = -40%,  Weakness Aoe = -30%",,,,,,,,,,,,,,,,,
Ethereal Form,Ethereal_Form,Null Element,2,3,"Eva, Def","60%, -50%",Buff,,,,,,,,,,,,,,,,,,,,,
Primordial Surge,Primordial_Surge,Null Element,2,3,"Element All(-Null Element, -Physical), Atk","40%, -40%",Buff,,,,"Increase Element Magic((-Null Element, -Physical) = 40%",,,,,,,,,,,,,,,,,
Cosmic Resonance,Cosmic_Resonance,Null Element,2,3,"M.Atk, M.Def","40%, 30%",Buff,,,,,,,,,,,,,,,,,,,,,
Reality Rejection,Reality_Rejection,Null Element,2,3,,,Buff,,,,"Element.Damage type Null Element, Physical = False, Resist.Debuffs = 100%",,,,,,,,,,,,,,,,,
Omega Surge,Omega_Surge,Null Element,2,3,All.Modifier,60%,Buff,,,,Health Points = -10% Per Turn,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
